feature,mean_importance,std_importance
volatility_21d,0.09127049002659783,0.01884351720318608
rsi_14,0.003438916315721796,0.019214011810986777
return_1d,0.001192242982894265,0.01083312431600111
drawdown_63d,-0.00320841232271169,0.02214237438247911
return_5d,-0.006068518246800691,0.021553684436443454
return_21d,-0.016126646182072418,0.016284278958085357
volume_ratio_21d,-0.020582560657469672,0.011990343489195188
sma_ratio_21_63,-0.03508903128901621,0.022269982994293305
volatility_ratio,-0.04328187165351769,0.021274298282702858
volatility_63d,-0.20899240722282647,0.03259185893758287
