feature,mean_abs_shap
volatility_63d,0.5947085587591221
drawdown_63d,0.4942084662121649
rsi_14,0.39047087567634536
volatility_21d,0.3740376532900663
volatility_ratio,0.31691620228161094
sma_ratio_21_63,0.29536714483946
return_21d,0.22816834931116423
return_1d,0.054752711125904366
return_5d,0.049576178947443095
volume_ratio_21d,0.03651501504158044
